Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
87,Domicile,2.9286307232282556,0.21,2.9286307232282556,3.1386307232282555,Rue,1
36,Domicile,2.8812021527860194,0.35,2.8812021527860194,3.2312021527860195,Parking,1
84,Rue,3.137115475777383,0.1,3.137115475777383,3.237115475777383,Domicile,1
11,Domicile,3.541105287828819,0.14,3.541105287828819,3.681105287828819,Rue,1
83,Domicile,3.6571528645841536,0.09,3.6571528645841536,3.7471528645841534,Rue,1
36,Parking,0.38,0.18,3.6112021527860194,3.7912021527860196,Parking,2
33,Domicile,3.8379040918705023,0.16,3.8379040918705023,3.9979040918705024,Rue,1
39,Rue,3.635269477271608,0.51,3.635269477271608,4.145269477271608,Domicile,1
68,Rue,3.8376979090928134,0.31,3.8376979090928134,4.147697909092813,Parking,1
4,Domicile,3.519286867442917,0.66,3.519286867442917,4.179286867442917,Rue,1
87,Rue,0.8,0.31,3.938630723228256,4.248630723228255,Rue,2
3,Domicile,4.332490574399504,0.08,4.332490574399504,4.412490574399504,Rue,1
9,Domicile,4.016425580891196,0.4,4.016425580891196,4.416425580891197,Rue,1
80,Domicile,4.038406595394528,0.45,4.038406595394528,4.488406595394528,Sans,1
33,Rue,0.38,0.13,4.377904091870502,4.507904091870502,Rue,2
80,Sans,0.0,0.02,4.488406595394528,4.508406595394527,Parking,2
79,Rue,3.916689356404242,0.64,3.916689356404242,4.556689356404242,Domicile,1
32,Domicile,4.491717192979825,0.09,4.491717192979825,4.581717192979825,Rue,1
17,Domicile,4.334508123747661,0.25,4.334508123747661,4.584508123747661,Entreprise,1
67,Rue,4.626329124775382,0.06,4.626329124775382,4.686329124775382,Entreprise,1
30,Domicile,3.697416677767935,0.99,3.697416677767935,4.687416677767935,Sans,1
46,Domicile,4.647630542536907,0.06,4.647630542536907,4.707630542536907,Entreprise,1
83,Rue,0.7,0.27,4.447152864584154,4.717152864584154,Parking,2
81,Domicile,4.590394169752922,0.13,4.590394169752922,4.720394169752922,Entreprise,1
26,Domicile,4.365038814209814,0.37,4.365038814209814,4.7350388142098145,Entreprise,1
41,Rue,4.829474882946952,0.08,4.829474882946952,4.909474882946952,Rue,1
20,Domicile,4.565887896623397,0.35,4.565887896623397,4.9158878966233965,Domicile,1
66,Domicile,4.719567719403307,0.24,4.719567719403307,4.959567719403307,Entreprise,1
73,Domicile,4.864475993826586,0.1,4.864475993826586,4.964475993826586,Rue,1
82,Domicile,4.698331619430758,0.29,4.698331619430758,4.988331619430758,Rue,1
79,Domicile,0.44,0.12,4.996689356404242,5.116689356404242,Parking,2
70,Rue,4.87102740407641,0.25,4.87102740407641,5.12102740407641,Rue,1
43,Domicile,4.881003650055303,0.28,4.881003650055303,5.161003650055303,Rue,1
9,Rue,0.61,0.14,5.026425580891197,5.166425580891197,Parking,2
68,Parking,0.8,0.22,4.947697909092813,5.167697909092813,Parking,2
96,Domicile,5.005217859352478,0.2,5.005217859352478,5.205217859352478,Rue,1
65,Parking,4.856183691274098,0.39,4.856183691274098,5.246183691274098,Entreprise,1
10,Rue,5.080107115069975,0.19,5.080107115069975,5.270107115069975,Domicile,1
19,Domicile,5.0886166542157465,0.19,5.0886166542157465,5.278616654215747,Parking,1
22,Domicile,5.218798037765422,0.11,5.218798037765422,5.328798037765423,Entreprise,1
41,Rue,0.28,0.18,5.189474882946953,5.369474882946952,Parking,2
77,Rue,5.25411630881552,0.12,5.25411630881552,5.37411630881552,Rue,1
