Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
198,Domicile,2.453250368640834,0.45,2.453250368640834,2.903250368640834,Entreprise,1
13,Domicile,2.8634110685370633,0.11,2.8634110685370633,2.973411068537063,Entreprise,1
242,Domicile,3.022850381809857,0.06,3.022850381809857,3.082850381809857,Rue,1
203,Rue,2.942092965349486,0.17,2.942092965349486,3.1120929653494858,Parking,1
225,Domicile,2.844945447974485,0.33,2.844945447974485,3.174945447974485,Domicile,1
230,Domicile,3.0355396493066817,0.2,3.0355396493066817,3.235539649306682,Entreprise,1
104,Domicile,3.0425503555425606,0.22,3.0425503555425606,3.262550355542561,Parking,1
147,Domicile,3.185141310960396,0.1,3.185141310960396,3.285141310960396,Rue,1
418,Domicile,3.195557883844865,0.11,3.195557883844865,3.3055578838448647,Rue,1
383,Rue,2.79921474802649,0.55,2.79921474802649,3.3492147480264904,Rue,1
145,Domicile,3.1940656387123845,0.16,3.1940656387123845,3.3540656387123846,Entreprise,1
179,Rue,3.2009531372170543,0.18,3.2009531372170543,3.3809531372170545,Parking,1
371,Domicile,3.2774996042629163,0.25,3.2774996042629163,3.5274996042629163,Parking,1
437,Domicile,3.4556418658592425,0.09,3.4556418658592425,3.5456418658592423,Parking,1
284,Domicile,3.2537153959537517,0.31,3.2537153959537517,3.5637153959537518,Entreprise,1
225,Domicile,0.0,0.39,3.174945447974485,3.5649454479744853,Rue,2
6,Rue,3.3583230862252886,0.22,3.3583230862252886,3.578323086225289,Domicile,1
212,Domicile,3.1219670906236705,0.47,3.1219670906236705,3.5919670906236707,Entreprise,1
465,Rue,3.328386464690583,0.29,3.328386464690583,3.618386464690583,Rue,1
121,Domicile,2.815434412823591,0.81,2.815434412823591,3.625434412823591,Rue,1
37,Domicile,3.383016164735735,0.26,3.383016164735735,3.6430161647357346,Entreprise,1
255,Domicile,3.2843604820252414,0.38,3.2843604820252414,3.6643604820252413,Entreprise,1
403,Rue,3.594802298917476,0.09,3.594802298917476,3.684802298917476,Parking,1
62,Parking,3.4926266695605728,0.21,3.4926266695605728,3.7026266695605727,Parking,1
343,Rue,2.810869576400077,1.0,2.810869576400077,3.810869576400077,Entreprise,1
289,Domicile,3.64137603159447,0.18,3.64137603159447,3.82137603159447,Parking,1
14,Domicile,3.7179304012223575,0.12,3.7179304012223575,3.8379304012223576,Rue,1
168,Domicile,3.7901549517434443,0.05,3.7901549517434443,3.840154951743444,Entreprise,1
225,Rue,0.06,0.22,3.6249454479744854,3.844945447974485,Parking,3
104,Parking,0.47,0.13,3.7325503555425605,3.8625503555425604,Parking,2
214,Rue,3.7109098223534067,0.16,3.7109098223534067,3.870909822353407,Parking,1
460,Rue,3.709988194566806,0.18,3.709988194566806,3.889988194566806,Parking,1
411,Domicile,3.523116362145691,0.37,3.523116362145691,3.8931163621456912,Parking,1
193,Parking,3.6085880148117333,0.3,3.6085880148117333,3.908588014811733,Parking,1
151,Domicile,3.549170988436478,0.36,3.549170988436478,3.909170988436478,Rue,1
430,Domicile,3.8577916194518473,0.08,3.8577916194518473,3.9377916194518474,Parking,1
221,Domicile,3.909185549488849,0.05,3.909185549488849,3.959185549488849,Parking,1
391,Domicile,3.8270374200832618,0.15,3.8270374200832618,3.9770374200832617,Parking,1
192,Rue,3.819661774486048,0.2,3.819661774486048,4.019661774486048,Rue,1
56,Domicile,3.740482862353233,0.29,3.740482862353233,4.0304828623532325,Rue,1
324,Domicile,3.6158376551020757,0.42,3.6158376551020757,4.035837655102076,Rue,1
85,Domicile,3.8768009993252273,0.16,3.8768009993252273,4.036800999325227,Parking,1
69,Domicile,3.939152394435694,0.1,3.939152394435694,4.0391523944356935,Parking,1
207,Rue,3.8533709128571516,0.19,3.8533709128571516,4.043370912857152,Rue,1
197,Domicile,3.6072721450862226,0.44,3.6072721450862226,4.047272145086223,Entreprise,1
24,Domicile,3.8424588907712227,0.22,3.8424588907712227,4.0624588907712225,Entreprise,1
209,Domicile,4.070751777851619,0.01,4.070751777851619,4.080751777851619,Parking,1
117,Rue,3.985683049847888,0.11,3.985683049847888,4.095683049847888,Rue,1
121,Rue,0.39,0.09,4.015434412823591,4.105434412823591,Parking,2
196,Domicile,3.9162750172642147,0.19,3.9162750172642147,4.106275017264215,Entreprise,1
276,Rue,3.7108983930913135,0.43,3.7108983930913135,4.140898393091313,Rue,1
496,Domicile,4.038451404938565,0.11,4.038451404938565,4.148451404938565,Entreprise,1
490,Domicile,3.91227816772698,0.24,3.91227816772698,4.15227816772698,Rue,1
7,Domicile,3.9624581983734704,0.19,3.9624581983734704,4.152458198373471,Rue,1
15,Domicile,3.86506078765886,0.29,3.86506078765886,4.15506078765886,Rue,1
344,Domicile,3.765511749089585,0.39,3.765511749089585,4.155511749089585,Entreprise,1
128,Domicile,3.988565945364618,0.19,3.988565945364618,4.1785659453646185,Parking,1
148,Domicile,4.092272169838389,0.1,4.092272169838389,4.192272169838389,Parking,1
351,Domicile,4.10665032892709,0.13,4.10665032892709,4.23665032892709,Rue,1
95,Rue,4.154328003902236,0.09,4.154328003902236,4.244328003902236,Rue,1
162,Rue,4.082007463744833,0.17,4.082007463744833,4.252007463744833,Entreprise,1
346,Domicile,3.5893028134067357,0.68,3.5893028134067357,4.2693028134067355,Rue,1
135,Domicile,3.922463306012913,0.35,3.922463306012913,4.272463306012913,Rue,1
183,Rue,4.156204872423486,0.12,4.156204872423486,4.276204872423486,Rue,1
485,Sans,3.9554844138984153,0.34,3.9554844138984153,4.295484413898415,Parking,1
443,Rue,4.12210198863524,0.18,4.12210198863524,4.30210198863524,Domicile,1
100,Domicile,3.974563727698122,0.34,3.974563727698122,4.314563727698122,Entreprise,1
141,Domicile,3.83940305583114,0.48,3.83940305583114,4.31940305583114,Entreprise,1
139,Domicile,4.082017066945582,0.24,4.082017066945582,4.322017066945582,Rue,1
111,Domicile,4.274732950368672,0.05,4.274732950368672,4.324732950368672,Rue,1
497,Rue,4.101794582656785,0.23,4.101794582656785,4.331794582656785,Rue,1
336,Domicile,4.252335611926733,0.09,4.252335611926733,4.342335611926733,Entreprise,1
254,Domicile,4.0683522208051235,0.28,4.0683522208051235,4.348352220805124,Parking,1
445,Domicile,4.195437839787025,0.16,4.195437839787025,4.355437839787025,Parking,1
458,Rue,4.2829521670303015,0.09,4.2829521670303015,4.372952167030301,Rue,1
129,Parking,4.327078440759437,0.06,4.327078440759437,4.387078440759437,Domicile,1
63,Domicile,4.098152514867858,0.29,4.098152514867858,4.388152514867858,Rue,1
317,Domicile,4.184994901471824,0.21,4.184994901471824,4.394994901471824,Entreprise,1
83,Domicile,4.272560146902356,0.13,4.272560146902356,4.402560146902356,Entreprise,1
101,Domicile,3.584123114729855,0.82,3.584123114729855,4.404123114729855,Parking,1
289,Parking,0.56,0.03,4.3813760315944705,4.411376031594471,Domicile,2
461,Domicile,3.993298678122753,0.42,3.993298678122753,4.413298678122753,Rue,1
147,Rue,0.54,0.61,3.825141310960396,4.435141310960396,Parking,2
316,Rue,4.287049002716625,0.15,4.287049002716625,4.437049002716625,Parking,1
435,Domicile,4.257470759196994,0.2,4.257470759196994,4.457470759196994,Rue,1
383,Rue,1.0,0.12,4.34921474802649,4.4692147480264905,Rue,2
451,Domicile,4.220191689665997,0.25,4.220191689665997,4.470191689665997,Rue,1
138,Rue,4.134597531693892,0.34,4.134597531693892,4.474597531693892,Domicile,1
493,Domicile,3.9066027387837097,0.59,3.9066027387837097,4.49660273878371,Rue,1
354,Domicile,4.405886661792457,0.11,4.405886661792457,4.515886661792457,Parking,1
225,Parking,0.59,0.09,4.434945447974485,4.524945447974485,Parking,4
10,Domicile,4.229519855144013,0.31,4.229519855144013,4.539519855144013,Entreprise,1
38,Domicile,4.345668166837647,0.2,4.345668166837647,4.545668166837647,Entreprise,1
