Individu,Lieu_depart,Temps_attente,Temps_trajet,Heure_depart,Heure_arrivee,Lieu_arrivee,Numero_trajet
322,Rue,2.1522612729947324,0.2,2.1522612729947324,2.3522612729947325,Rue,1
222,Domicile,2.0621767065747956,0.32,2.0621767065747956,2.3821767065747954,Parking,1
483,Domicile,2.490841533410897,0.1,2.490841533410897,2.590841533410897,Parking,1
404,Domicile,2.4790244049124897,0.14,2.4790244049124897,2.61902440491249,Rue,1
376,Domicile,2.44435187616406,0.19,2.44435187616406,2.63435187616406,Rue,1
153,Domicile,2.6507003022325004,0.04,2.6507003022325004,2.6907003022325005,Parking,1
84,Domicile,2.605076171815059,0.15,2.605076171815059,2.755076171815059,Rue,1
453,Domicile,2.79759328654847,0.21,2.79759328654847,3.00759328654847,Parking,1
404,Rue,0.27,0.13,2.88902440491249,3.0190244049124897,Domicile,2
322,Rue,0.67,0.04,3.0222612729947325,3.0622612729947325,Domicile,2
160,Domicile,3.0701625327543316,0.06,3.0701625327543316,3.1301625327543317,Parking,1
204,Domicile,2.962933585671587,0.17,2.962933585671587,3.1329335856715868,Parking,1
478,Domicile,3.041713050480885,0.15,3.041713050480885,3.191713050480885,Parking,1
66,Domicile,3.1070767093455154,0.11,3.1070767093455154,3.2170767093455153,Rue,1
120,Domicile,3.0814461605921513,0.16,3.0814461605921513,3.2414461605921514,Rue,1
427,Domicile,3.182964488372223,0.14,3.182964488372223,3.322964488372223,Parking,1
244,Domicile,3.0093375660023702,0.32,3.0093375660023702,3.32933756600237,Parking,1
7,Domicile,3.1726901248395847,0.16,3.1726901248395847,3.332690124839585,Entreprise,1
313,Domicile,3.2840406921582646,0.15,3.2840406921582646,3.4340406921582645,Parking,1
467,Rue,3.141209032977121,0.3,3.141209032977121,3.4412090329771208,Parking,1
486,Rue,3.280850467976221,0.21,3.280850467976221,3.490850467976221,Rue,1
294,Rue,3.2195225200228337,0.29,3.2195225200228337,3.5095225200228337,Rue,1
